Conference,2018,2019,2020,2021,2022,2023
USENIX Security 2023 - 32nd Usenix Security Symposium,,,,,,CIDRE (1)
USENIX Security Symposium,,,,,,SPLITS (1)
USNCCM16 2021 - 16th U.S. National Congress on Computational Mechanics,,,,AIRSEA (1),,
UTP 2019 - 7th International Symposium on Unifying Theories of Programming,,TEA (1),,,,
Un outil numérique pour interroger les catalogues de vente : le projet DataCatalogue,,,,,ALMAnaCH (1),
Un rêve pour les filles et les garçons : LA SCIENCE,,Mnemosyne (1),,,,
Unconventional Optical Imaging,MANAO (1),,,,,
Unconventional Optical Imaging III,,,,,OPIS (1),
Understanding and Interpreting Machine Learning in Medical Image Computing Applications,EPIONE (1),,,,,
"Unithéoucafé, webconférence Inria, France",,,CAGIRE (1),,,
Universal Dependencies Workshop 2018,SEMAGRAMME (1),,,,,
Université Côte d'Azur Complex Days,BIOVISION (1) AROMATH (1),,,,,
Université Côte d'Azur Complex Systems,AROMATH (1),,,,,
UrbCom 2020 - 2nd International Workshop on Urban Computing,,,TRiBE (1),,,
VALUETOOLS '20: 13th EAI International Conference on Performance Evaluation Methodologies and Tools,,,DYOGENE (1),,,
VALUETOOLS 2019 - 12th EAI International Conference on Performance Evaluation Methodologies and Tools,,DYOGENE (2) NEO (2) EVA (1) DIONYSOS (1),,,,
VALUETOOLS 2020 - 13th  EAI  International  Conference  on  Performance  Evaluation Methodologies and Tools,,,NEO (1),,,
VALUETOOLS 2020 - 13th EAI International Conference on Performance Evaluation Methodologies and Tools,,,NEO (1),,,
VAMOS 2019 - 13th International Workshop on Variability Modelling of Software-Intensive Systems,,DiverSe (1),,,,
VCBM 2023 - 13th Eurographics Workshop on Visual Computing for Biology and Medicine,,,,,,GEOMERIX (1)
VCIP 2021 - IEEE Visual Communications and Image Processing,,,,Sirocco (1),,
VCIP 2023 - IEEE International Conference on Visual Communications and Image Processing,,,,,,Sirocco (1)
VECPAR 2018 - 13th International Meeting on High Performance Computing for Computational Science,BONUS (1),,,,,
VEE '22 - 18th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,,,,,MYRIADS (1),
VEE 2021 - 17th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,,,,Whisper (1),,
VEHITS 2019 - 5th International Conference on Vehicle Technology and Intelligent Transport Systems,,EASE (1),,,,
"VEM '18 - Proceedings of the VI Workshop on Software Visualization, Evolution and Maintenance",SPIRALS (1),,,,,
"VEM 2018 - 6th Workshop on Software Visualization, Evolution and Maintenance",RMOD (1),,,,,
"VHCIE@IEEEVR 2018 - IEEE Virtual Humans and Crowds for Immersive Environments, 25th IEEE Conference on Virtual Reality",MIMETIC (1) RAINBOW (1),,,,,
VIENNATALK2020: FOURTH VIENNA TALK ON MUSIC ACOUSTICS,,,,,MAKUTU (1),
VIII Iberoamerican Conference on Human-Computer Interaction 2022,,,,,WIMMICS (1),
VIS 2018 - 3rd Workshop on Visualization for the Digital Humanities,AVIZ (1),,,,,
VIS 2023 - IEEE Visualization and Visual Analytics,,,,,,Potioc (1)
VIS4DH 2022 - 7th Workshop on Visualization for the Digital Humanities,,,,,AVIZ (2),
VIS4Good - Visualization for Social Good workshop held as part of IEEE VIS 2022,,,,,Potioc (1) AVIZ (1),
VIS4Good 2023 - IEEE Workshop on Visualization for Social Good,,,,,,AVIZ (1)
VISAPP '22: International Conference on Computer Vision Theory and Applications,,,,,STARS (1),
VISAPP 2021 - 16th International Conference on Computer Vision Theory and Applications,,,,Sirocco (1),,
VISAPP 2022 - 17th International Conference on Computer Vision Theory and Applications,,,,,STARS (2) Sirocco (1),
"VISIGRAPP 2020 - 15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",,,Hybrid (2),,,
"VISIGRAPP 2023 - International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",,,,,,MONC (1)
VISSOFT 2022 - IEEE Working Conference on Software Visualization,,,,,RMOD (1),
VL/HCC 2018 - IEEE Symposium on Visual Languages and Human-Centric Computing,LOKI (1),,,,,
VLDB 2018 - 44th International Conference on Very Large Data Bases : Workshop LADaS - Latin American Data Science,CAPSID (1),,,,,
VLDB 2019 - 45th International Conference on Very Large Data Bases,,PETRUS (1),,,,
VLDB 2020 - 46th International Conference on Very Large Data Bases,,,GRAPHIK (1) CEDAR (1),,,
VLDB 2021 - 47th International Conference on Very Large Data Bases,,,,ERABLE (1),,
VLDB 2022 - 48th International Conference on Very Large Databases,,,,,CEDAR (1) BOREAL (1),
VLDB 2023 - 49th International Conference on Very Large Data Bases,,,,,,CEDAR (1) ERABLE (1)
VLIoT 2020 - International Workshop on Very Large Internet of Things,,,CAIRN (1),,,
"VMCAI 2018 - International Conference on Verification, Model Checking, and Abstract Interpretation",DELYS (1),,,,,
"VMCAI 2019 - 20th International Conference on Verification, Model Checking, and Abstract Interpretation",,MEXICO (1),,,,
"VMCAI 2020 - 21st International Conference on Verification, Model Checking, and Abstract Interpretation",,,ANTIQUE (1),,,
"VMCAI 2021 - 22nd International Conference Verification, Model Checking, and Abstract Interpretation",,,,VERIDIS (1),,
"VMCAI 2021 - 22nd International Conference on Verification, Model Checking, and Abstract Interpretation",,,,SUMO (1),,
"VMCAI 2022 - 23rd International Conference on Verification, Model Checking, and Abstract Interpretation",,,,,ANTIQUE (1),
"VMCAI 2023 - 24th International Conference on Verification, Model Checking , and Abstract Interpretation",,,,,,CONVECS (1)
"VMCAI 2023 - 24th International Conference on Verification, Model Checking and Abstract Interpretation",,,,,,ANTIQUE (1)
"VMCAI 2023 - 24th International Conference on Verification, Model Checking, and Abstract Interpretation",,,,,,ANTIQUE (1) SPLITS (1)
"VMCAI'19 - International Conference on Verification, Model Checking, and Abstract Interpretation",,CASH (1),,,,
VMIL 2020 - 12th ACM SIGPLAN International Workshop on Virtual Machine and Intermediate Languages,,,Parkas (1),,,
"VMV 2023 - Vision, Modeling, and Visualization",,,,,,GRAPHDECO (1)
VOILA! 2021- 6th International Workshop on the Visualization and Interaction for Ontologies and Linked Data,,,,WIMMICS (1),,
VPF8 2019 - 8th Viscoplastic Fluids Workshop: From Theory to Applications,,NUMED (1),,,,
VPH 2020 - International Conference on the Virtual Physiological Human,,,CARMEN (1),,,
VPH 2020 - Virtual Physiological Human,,,ARAMIS (2) M3DISIM (1),,,
VPH 2020 - Virtual Physiological Human 2020,,,ARAMIS (1),,,
"VPH 2020 - Virtual Physiological Human: when models, methods and experiments meet the clinics",,,M3DISIM (2),,,
VPH2020 - Virtual Physiological Human,,,MIMESIS (1),,,
VR 2018 - 25th IEEE Conference on Virtual Reality and 3D User Interfaces,Hybrid (1) MIMETIC (1),,,,,
VR 2018 - IEEE Conference on Virtual Reality and 3D User Interfaces,Hybrid (2),,,,,
VR 2019 - 26th IEEE Conference on Virtual Reality and 3D User Interfaces,,Hybrid (6) MIMETIC (3) RAINBOW (2),,,,
"VR 2020 - 17th International Conference on Virtual Reality and Augmented Reality, EuroVR 2020",,,MIMETIC (1) RAINBOW (1),,,
VR 2020 - 27th IEEE Conference on Virtual Reality and 3D User Interfaces,,,RAINBOW (3) MIMETIC (2) Hybrid (1) LOKI (1),,,
VR 2020 - IEEE Conference on Virtual Reality and 3D User Interfaces,,,Hybrid (2) RAINBOW (1),,,
VR 2021 - 28th IEEE Conference on Virtual Reality and 3D User Interfaces,,,,MIMETIC (1) RAINBOW (1),,
VR 2021 - IEEE Conference on Virtual Reality and 3D User Interfaces,,,,Hybrid (1) RAINBOW (1),,
VR 2022 - IEEE Conference on Virtual Reality,,,,,RAINBOW (1),
VR 2022 - IEEE Conference on Virtual Reality and 3D User Interfaces,,,,,MIMETIC (1) RAINBOW (1) VIRTUS (1),
VR 2023 - IEEE Conference on Virtual Reality and 3D User Interfaces,,,,,,Hybrid (2) Potioc (1) RAINBOW (1)
VR IEEE 2022 - Conference Virtual Reality and 3D User Interfaces (VR),,,,,Potioc (1),
VRCAI 2018 - 16th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,MIMETIC (1),,,,,
VRIC 2018 Virtual Reality International Conference - Laval Virtual,Potioc (1),,,,,
VRST '20 - 26th ACM Symposium on Virtual Reality Software and Technology,,,EX-SITU (1),,,
VRST '22  28th ACM Symposium on Virtual Reality Software and Technology,,,,,LOKI (1) Hybrid (1),
VRST - 28th ACM Symposium on Virtual Reality Software and Technology,,,,,Hybrid (1) RAINBOW (1),
VRST 2021 - 27th ACM Symposium on Virtual Reality Software and Technology,,,,Potioc (1),,
VRST 2022 - 28th ACM Symposium on Virtual Reality Software and Technology,,,,,SERPICO (1) Hybrid (1),
VRW 2020 - IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops,,,Hybrid (2),,,
VRW 2022 - IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops,,,,,Hybrid (1),
VSS 2018 - 15th International Workshop on Variable Structure Systems,DEFROST (1),,,,,
VSS 2018 - 15th International Workshop on Variable Structure Systems and Sliding Mode Control,NON-A-POST (1) TRIPOP (1),,,,,
VSS 2019 - Vision Sciences Society,,AVIZ (1),,,,
VSS18 - 15th International Workshop on Variable Structure Systems and Sliding Mode Control,NON-A-POST (1),,,,,
VSS2022 - 16th International Workshop on Variable Structure Systems,,,,,VALSE (1),
"VST 2018 - 2nd IEEE International Workshop on Validation, Analysis and Evolution of Software Tests",RMOD (1),,,,,
"VSTTE 2019 - 11th Working Conference on Verified Software: Tools, Techniques and Experiments",,TOCCATA (1),,,,
"VSTTE 2022 - 14th International Conference on Verified Software: Theories, Tools, and Experiments",,,,,CORSE (1),
VTC 2018 - Fall - 2018 IEEE 88th Vehicular Technology Conference,EVA (1),,,,,
VTC 2018-Fall - IEEE 88th Vehicular Technology Conference,EVA (1),,,,,
VTC 2021-Spring - IEEE 93rd Vehicular Technology Conference,,,,DIONYSOS (1),,
VTC 2022 - IEEE 95th Vehicular Technology Conference,,,,,FUN (1),
VTC 2022 - Spring IEEE 95th Vehicular Technology Conference,,,,,FUN (1),
VTC 2023-Fall - IEEE 98th Vehicular Technology Conference,,,,,,ERMINE (1)
VTC Spring 2020 - IEEE 91st Vehicular Technology Conference,,,AGORA (1),,,
VTC-FALL 2018 : 88th Vehicular Technology Conference,NEO (1),,,,,
VTC-FALL 2019 - IEEE Vehicular Technology Conference,,EVA (1),,,,
VTC2020-Spring- 2020 IEEE 91st Vehicular Technology Conference,,,Flowers (1),,,
VTC2021-Fall -  94th IEEE Vehicular Technology Conference,,,,FUN (1),,
VTC2023-Spring - 97th IEEE Vehicular Technology  Conference,,,,,,ERMINE (1)
VTC2023-Spring - The IEEE 97th Vehicular Technology Conference,,,,,,TRiBE (1)
VTS 2021 - 39th IEEE VLSI Test Symposium,,,,CAIRN (1) TARAN (1),,
VaMoS 2018 - 12th International Workshop on Variability Modelling of Software-Intensive Systems,DiverSe (1),,,,,
VaMoS 2021 - 15th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,DiverSe (1),,
VaMoS 2022 - 16th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,,DiverSe (3),
VaMoS 2023 - 17th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,,,DiverSe (2)
Variation(s) en français,,,,,ALMAnaCH (1),
VeRoLog 2019 - 7th Workshop of the EURO Working Group on Vehicle Routing and Logistics optimization,,Realopt (1),,,,
VeRoLog 2019 - Workshop of the EURO Working Group on Vehicle Routing and Logistics optimization,,INOCS (4),,,,
VeRoLog 2022 - 8th meeting of the EURO Working Group on Vehicle Routing and Logistics Optimization,,,,,INOCS (1),
VeRoLog 2022 - Workshop of the EURO Working Group on Vehicle Routing and Logistics optimization,,,,,INOCS (1),
VerifyThis 2020 - Long-term Challenge,,,TOCCATA (1),,,
Vienna Talk 2020/22,,,,,MAKUTU (1),
Vienna young Scientists Symposium - VSS 2019,,FACTAS (1),,,,
Villages des Sciences,,,,,,CAGIRE (1)
VipIMAGE 2019 - VII ECCOMAS Thematic Conference on Computational Vision and Medical Image Processing,,M3DISIM (1),,,,
Virtual Physiological Human conference,CARMEN (1) MONC (1),,,,,
"Virtual Reality International Conference (VRIC), Laval Virtual.",,,,,ANIMA (1),
"Visual Processing of Digital Manuscripts: Workflows, Pipelines, Best Practices. ICIAP 2023 Workshops. ICIAP 2023.",,,,,,ALMAnaCH (1)
Voice Tech Paris 2019,,MULTISPEECH (1),,,,
Vol. 15 (2023): Proceedings of the European Wave and Tidal Energy Conference,,,,,,MEMPHIS (1)
Voting 2023 - 8th Workshop on Advances in Secure Electronic Voting,,,,,,PESTO (1) CARAMBA (1)
VÉGÉPHYL -13ème Conférence internationale sur les maladies des plantes,,,,,LACODAM (1),
W-IAT 2022 - IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology,,,,,WIMMICS (1),
W-NUT 2021 - 7th Workshop on Noisy User-generated Text (colocated with EMNLP 2021),,,,ALMAnaCH (1),,
W-NUT 2021 - Seventh Workshop on Noisy User-generated Text (colocated with EMNLP 2021),,,,,ALMAnaCH (1),
"W3C Workshop on Web Standardization for Graph Data - Creating Bridges: RDF, Property Graph and SQL",,WIMMICS (1),,,,
WABI 2018 - 18th Workshop on Algorithms in Bioinformatics,ERABLE (1),,,,,
WABI 2020 - 20th Workshop on Algorithms in Bioinformatics,,,GenScale (1),,,
WABI 2021 - 21st International Workshop on Algorithms in Bioinformatics,,,,ERABLE (1),,
WABI 2021 - Workshop on Algorithms in Bioinformatics,,,,GenScale (1),,
WABI 2022 - 22nd International Workshop on Algorithms in Bioinformatics,,,,,ERABLE (1),
WABI 2022 - 2nd International Workshop on Algorithms in Bioinformatics,,,,,ERABLE (1),
WAC 2019 - 5th Web Audio Conference,,WIMMICS (2),,,,
WAC 2019 - 5th WebAudio Conference,,WIMMICS (1),,,,
WAC 2022 - 7th International Web Audio Conference,,,,,WIMMICS (1) EMERAUDE (1),
WAC 2022 - Web Audio Conference 2022,,,,,WIMMICS (3),
"WACAI 2018 - Workshop sur les “Affects, Compagnons Artificiels et Interactions”",Potioc (1) Hybrid (1) PHOENIX-POST (1),,,,,
"WACAI 2020 - Workshop sur les Affects, Compagnons artificiels et Interactions",,,Potioc (1) Hybrid (1),,,
WACV,STARS (1),,,,,
WACV '23: IEEE International Winter Conference on Applications in Computer Vision,,,,,,STARS (1)
WACV 2018 -  IEEE Winter Conference on Applications of Computer Vision,LinkMedia (1),,,,,
WACV 2018 - IEEE Winter Conference on Applications of Computer Vision,LinkMedia (1) MORPHEO (1),,,,,
WACV 2019 - IEEE Winter Conference on Applications of Computer Vision,,STARS (1),,,,
WACV 2019 - IEEE’s and the PAMI-TC’s premier meeting on applications of computer vision,,STARS (1),,,,
WACV 2020 - IEEE Winter Conference on Applications of Computer Vision,,,STARS (3),,,
WACV 2020 - Winter Conference on Applications of Computer Vision,,,STARS (1),,,
WACV 2021 - IEEE Winter Conference on Applications of Computer Vision,,,,LACODAM (1),,
WACV 2021 - IEEE Winter Conference on Applications of Computer vision,,,,PERCEPTION (1) ROBOTLEARN (1),,
WACV 2021 - Winter Conference on Applications of Computer Vision,,,,LinkMedia (1),,
WACV 2021 - Winter Conference on Applications of Computer Vision 2021,,,,STARS (1),,
WACV 2021 – IEEE Winter Conference on Applications of Computer Vision,,,,STARS (2),,
WACV 2022 - IEEE Winter Conference on Applications of Computer Vision,,,,,LACODAM (1),
WACV 2022 - Winter Conference on Applications of Computer Vision,,,,,Thoth (1),
WACV 2023 - IEEE Winter Conference on Applications of Computer Vision,,,,,,ROBOTLEARN (1)
WACV 2023 - Winter Conference on Applications of Computer Vision,,,,,,ASTRA (1)
"WACVW 2018 : IEEE Winter Conference on Applications of Computer Vision, Workshop CV-AAL - Computer Vision for Active and Assisted Living",Flowers (1),,,,,
WAHC 2020 - 8th Workshop on Encrypted Computing & Applied Homomorphic Cryptography,,,LinkMedia (1),,,
WAIFI 2020 - International Workshop on the Arithmetic of Finite Fields,,,COSMIQ (1),,,
WAIN 2018 - Workshop on Artificial Intelligence in Networks,AGORA (1),,,,,
WALCOM 2023 - International Conference and Workshops on Algorithms and Computation,,,,,,ERABLE (1)
WAMCA 2022 - 13th Workshop on Applications for Multi-Core Architectures,,,,,TADAAM (1),
WAOA 2018 - 16th International Workshop on Approximation and Online Algorithms,ERABLE (1),,,,,
WAOA 2018 - International Workshop on Approximation and Online Algorithms,ERABLE (1),,,,,
