Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0858UR;TOSCA;;principal;Bossy;Mireille;01-11-2019;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Terminée;31/12/2019;;Simuler et calibrer des modèles stochastiques;TO Simulate and CAlibrate stochastic models;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;;;;;;01/01/2019;31/12/2019;;201922957A;;13274-C, 13632-P, 14073-F;041088-0;Modélisation stochastique et calibration, Analyse et méthodes numériques pour les modèles stochastiques, Méthodes numériques stochastiques pour les EDP, Mathématiques financières.;Stochastic modelling and calibration, Analysis and simulation methods for stochastic models, Stochastic numerical methods for PDEs, Financial mathematics.;
SR0857FR;TOSCA-NGE;;principal;Deaconu;Madalina;01-01-2019;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;30/11/2020;;Simuler et calibrer des modèles stochastiques;TO Simulate and CAlibrate stochastic models;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;;;;;;20/12/2018;30/11/2020;;201822955C;;13308-C, 14040-F, 14233-P, 14327-P, 14508-P, 14547-F;051078-0;Modélisation stochastique et calibration, Analyse et méthodes numériques pour les modèles stochastiques, Méthodes numériques stochastiques pour les EDP, Mathématiques financières.;Stochastic modelling and calibration, Analysis and simulation methods for stochastic models, Stochastic numerical methods for PDEs, Financial mathematics.;
SR0872OR;TRIBE;EP;principal;Carneiro viana;Aline;01-06-2019;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/06/2019;31/12/2025;Pour un Internet non-conventionnel;inTeRnet BEyond the usual;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/06/2019;31/12/2025;17/03/2020;201923224R;;13568-C, 14583-P, 15179-P;111090-0;IoT, flexibilité et unification de l'IoT, communication opportuniste et perseptive des IoTs et l'utilisation du réseaux, analyse du comportement humain, Internet Edge, réseaux mobiles, solutions de mise en réseau conscientes de l'humain;IoT, flexibility and unification of IoT, opportunistic communication, human behaviour analysis, Internet edge, mobile networks, human-aware networking solutions;
SR0806IR;TRIPOP;;principal;Acary;Vincent;01-01-2018;31-12-2018;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;31/05/2019;;Modélisation, simulation et commande des systèmes dynamiques non lisses;Modélisation, simulation et commande des systèmes dynamiques non lisses;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;;;;;;01/01/2018;31/05/2019;;201822629Y;;12443-C, 13271-P, 13658-F;071133-0;;nonsmooth dynamical systems, control, nonsmooth analysis,  modeling, simulation, scientific computing, mechanical systems, contact, friction, impact,  electrical systems, sliding mode control, excitable systems, cyber-physical systems, hybrid systems, complementarity systems, nonlinear waves, natural risk assessment,;
SR0879YR;TRIPOP;EP;principal;Acary;Vincent;01-06-2019;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/06/2019;31/12/2026;Modélisation, simulation et commande des systèmes dynamiques non lisses;Modeling, Simulation and Control of Nonsmooth Dynamical Systems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;CNRS, UGA;CNRS, Université de Grenoble Alpes;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/06/2019;31/12/2026;12/01/2022;201822629Y;;13604-C, 15186-P, 15853-P, 16225-P;071133-0;;nonsmooth dynamical systems, control, nonsmooth analysis,  modeling, simulation, scientific computing, mechanical systems, contact, friction, impact,  electrical systems, sliding mode control, excitable systems, cyber-physical systems, hybrid systems, complementarity systems, nonlinear waves, natural risk assessment,;
SR0844QR;TROPICAL;EP;principal;Gaubert;Stephane;01-07-2018;;Principal;Centre Inria de Saclay;Ecole Polytechnique - Centre de Mathématiques Appliquées (CMAP);Décision signée;01/07/2018;31/12/2026;Méthodes tropicales: structures, algorithmes et interactions;Tropical methods: structures, algorithms and interactions;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;;;INSMI;CMAP [CNRS, EC. POLYTECHNIQUE];Centre de Mathématiques Appliquées (CMAP);01/07/2018;31/12/2026;12/01/2022;201621988K;;12969-C, 15186-P, 15853-P, 16225-P;111077-1;Géométrie tropicale, Optimisation, Théorie des Jeux, Recherche Opérationnelle, Systèmes dynamiques monotones, Géométrie Métrique, Évaluation de Performance, Vérification de programme et de systèmes, Tarification, Centres d'Appels d'Urgence;Tropical geometry, Optimization, Game Theory, Operations Research, positive dynamical systems, Metric Geometry, Performance evaluation, Program and systems verification, Optimal Pricing, Emergency Call Centers;
SR0652QR;TYREX;EP;principal;Genevès;Pierre;01-12-2019;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/07/2014;31/12/2024;Types and Reasoning for the Web;Types and Reasoning for the Web;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;CNRS, UGA;CNRS, Université de Grenoble Alpes;INS2I;LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire d'Informatique de Grenoble (LIG);01/07/2014;31/12/2024;07/10/2015, 03/10/2019;201221059T;;10352-C, 10468-M, 11684-P, 13287-CR, 13292-N, 14331-P, 16994-P;071112-1;gestion de données, intelligence artificielle, programmation, données, graphes;data management, artificial intelligence, programming, data, graphs;
SR0824OR;VALDA;EP;principal;Senellart;Pierre;01-01-2018;;Principal;Centre Inria de Paris;Ecole Normale supérieure Paris;Décision signée;01/01/2018;31/12/2024;Valeur à partir des données;Value from Data;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;ENS PSL, CNRS;Ecole normale supérieure de Paris, CNRS;INS2I;DI-ENS [CNRS, INRIA, ENS PSL];Département d'Informatique de l'Ecole Normale Supérieure;01/01/2018;31/12/2024;03/10/2019;201622223R;;12569-C, 14331-P, 16994-P;021144-1;données complexes, théorie, systèmes, incertitude, provenance, données personnelles;complex data, theory, systems, uncertainty, provenance, personal data;
SR0862RR;VALSE;EP;principal;Efimov;Denis;01-11-2019;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/11/2019;31/12/2026;Contrôle en temps fini et estimation pour des systèmes distribués;Finite-time control and estimation for distributed systems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;E. CENTRALE LILLE, UNIVERSITE DE LILLE;Ecole Centrale de Lille, Université de Lille;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/01/2019;31/12/2026;12/01/2022;201923115X;;13261-C, 13964-C, 15186-P, 15853-P, 16225-P;101061-0;Stabilité dans le temps fini, stabilité dans le temps fixé, homogénéité des systèmes dynamiques, systèmes cyber-physiques, systèmes distribués;Finite-time stability, Fixed-time stability, Homogeneity of dynamical systems, Cyber-physical systems, Distributed systems;
SR0524TR;VERIDIS;EP;principal;Merz;Stephan;01-07-2012;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/07/2012;31/12/2024;Modeling and Verification of Distributed Algorithms and Systems;Modeling and Verification of Distributed Algorithms and Systems;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS, U. DE LORRAINE, MPII;CNRS, Université de Lorraine, Max-Planck-Institut für Informatik Saarbrücken;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/07/2012;31/12/2024;17/03/2015, 20/03/2019;201020692C;;8843-C, 11317-P, 14025-P, 16659-P, 16998-P;051091-1;méthodes formelles, preuve de théorèmes, satisfiabilité modulo théories, vérification algorithmique, systèmes répartis;formal methods, theorem proving, satisfiability modulo theories, model checking, distributed systems;
SR0926VR;VIRTUS;EP;principal;Pettre;Julien;01-07-2022;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/07/2022;31/05/2026;Nous, virtuels;The VIrtual Us;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;U. RENNES 2, U. RENNES;Université Haute Bretagne (Rennes 2), Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS], M2S [U. RENNES 2];Institut de recherche en informatique et systèmes aléatoires (IRISA), Mouvement, Sport, Santé (M2S);01/07/2022;31/05/2026;;202224309G;;15491-C;031137-0;réalité virtuelle, animation graphique, simulation, avatar et incarnation, analyse du mouvement, analyse du comportement;virual reality, computer animation, computer graphics, simulation, avatar and embodiement, motion analysis, behavior analysis;
SR0720UR;WHISPER;EP;principal;Lawall;Julia;01-12-2021;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/12/2015;30/06/2026;Well Honed Infrastructure Software for Programming Environments and Runtimes;Well Honed Infrastructure Software for Programming Environments and Runtimes;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;;;INS2I;;;01/12/2015;30/06/2026;13/10/2016, 07/10/2021;201421141Y;;11273-C, 12277-P, 14890-P, 15267-N, 15700-P, 15929-R;021136-1;;Infrastructure software, safety, operating systems, programming languages, software engineering;
SR0840XR;WIDE;EP;principal;Taiani;Francois;01-06-2018;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/06/2018;30/06/2026;le monde est distribué - Vers une exploration des tensions entre grande échelle et coordination;the World Is Distributed Exploring the tension between scale and coordination;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;U. RENNES;Université de Rennes;;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/06/2018;30/06/2026;07/10/2021;201822640K;;12884-C, 14890-P, 15700-P;031128-1;algorithmique répartie, systèmes informatiques répartis grande échelle, calcul décentralisé, protection de la vie privée;distributed algorithms, large-scale distributed computer systems, decentralized computing, privacy protection;
SR0066IR;WILLOW;EP;principal;Carpentier;Justin;01-08-2023;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/05/2021;30/06/2028;Vision par ordinateur incarnée;Embodied computer vision;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;ENS PSL, CNRS;Ecole normale supérieure de Paris, CNRS;INS2I;DI-ENS [CNRS, INRIA, ENS PSL];Département d'Informatique de l'Ecole Normale Supérieure;01/06/2007;30/06/2028;20/10/2010, 16/10/2014, 03/10/2018;200718311C;;5621-C, 8096-P, 11314-P, 13731-P, 14058-P, 14373-P, 14590-P, 14812-C, 16221-P, 16339-CR, 16340-N, 16983-P;021076-1;"Vision artificielle ; modèles géométriques, physiques, et statistiques ; apprentissage ; reconnaissance visuelle; robotique";"Computer vision; geometric, physical, and statistical models; learning; visual recognition";
SR0588SR;WIMMICS;EP;principal;Gandon;Fabien;01-07-2013;;Principal;Centre Inria d'Université Côte d'Azur;I3S-Templiers - Sophia Antipolis;Décision signée;01/07/2013;31/12/2024;Web-Instrumented Man-Machine Interactions, Communities and Semantics;Web-Instrumented Man-Machine Interactions, Communities and Semantics;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;CNRS, UCA;CNRS, Université Côte d'Azur;INS2I;I3S [U. NICE SOPHIA ANTIPOLIS  (UNS), CNRS];Laboratoire informatique, signaux systèmes de Sophia Antipolis (I3S);01/07/2013;31/12/2024;07/10/2015, 03/10/2019;201221031M;;9518-C, 11684-P, 14331-P, 16994-P;041138-1;représentation et raisonnement sur des connaissances, intelligence artificielle, web sémantique, données liées, web social, ontologies, formalismes de graphes, interaction;knowledge representation and reasoning, artificial intelligence, semantic web, linked data, social web, ontologies, graph formalisms, interaction;
SR0795QR;XPOP;EP;principal;Lavielle;Marc;01-07-2017;;Principal;Centre Inria de Saclay;Ecole Polytechnique - Centre de Mathématiques Appliquées (CMAP);Terminée;31/12/2023;;Modélisation statistique pour les sciences du vivant;Statistical modelling for life sciences;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;IP-PARIS;Institut Polytechnique de Paris;INSMI;CMAP [CNRS, EC. POLYTECHNIQUE];Centre de Mathématiques Appliquées (CMAP);01/07/2017;31/12/2023;15/05/2022;201622140A;;12282-C, 13241-P, 15196-P;111073-1;;;
SR0522AR;ZENITH;Equipe;principal;Masseglia;Florent;01-04-2023;;Principal;Centre Inria d'Université Côte d'Azur;Antenne Inria Montpellier - Université Montpellier;En cours de fermeture;01/01/2024;31/12/2024;Gestion de données scientifiques;Scientific Data Management;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;CNRS, U. MONTPELLIER;CNRS, Université de Montpellier;INS2I;LIRMM [U. MONTPELLIER 2, CNRS];Laboratoire d'informatique, de robotique et de microélectronique de Montpellier (LIRMM);01/01/2012;31/12/2024;11/10/2011, 07/10/2015, 03/10/2019;201121208J;;8498-C, 11684-P, 14331-P, 16072-CR, 16073-N, 16676-P, 16994-P;041127-1;Science des données, données scientifiques, big data, cluster, cloud, pair à pair, gestion de données distribuées et parallèles, intégration, confidentialité, analyse, fouille de données, machine learning, recherche d?information, recherche d?images par contenu.;Data science, big data, scientific data, cluster, cloud, peer to peer, distributed and parallel data management, data integration, privacy, data analytics, machine learning, data search, content-based image retrieval.;
